iter	Passed	Remaining
0	1	1206
1	2	1086
2	3	1014
3	3	983
4	4	964
5	5	935
6	6	915
7	7	905
8	8	904
9	8	889
10	9	887
11	10	895
12	11	886
13	12	874
14	13	865
15	14	865
16	15	874
17	16	879
18	16	877
19	17	869
20	18	865
21	19	861
22	20	858
23	21	854
24	21	853
25	22	849
26	23	844
27	24	845
28	25	845
29	26	846
30	27	844
31	27	841
32	28	841
33	29	841
34	30	841
35	31	844
36	32	845
37	33	844
38	34	842
39	35	841
40	35	837
41	36	835
42	37	833
43	38	829
44	38	826
45	39	826
46	40	824
47	41	823
48	42	822
49	43	822
50	44	821
51	45	822
52	45	821
53	46	817
54	47	814
55	48	811
56	48	810
57	49	807
58	50	806
59	51	805
60	52	803
61	53	802
62	53	800
63	54	799
64	55	799
65	56	797
66	57	797
67	58	796
68	59	796
69	59	797
70	60	795
71	61	793
72	62	792
73	63	790
74	63	788
75	64	787
76	65	784
77	66	782
78	67	781
79	67	779
80	68	777
81	69	776
82	69	772
83	70	772
84	71	772
85	72	770
86	73	770
87	74	770
88	75	769
89	76	769
90	76	767
91	77	767
92	78	766
93	79	765
94	80	764
95	81	763
96	81	762
97	82	761
98	83	760
99	84	759
100	85	758
101	86	758
102	87	759
103	88	759
104	89	759
105	90	761
106	91	762
107	92	761
108	93	760
109	94	760
110	95	761
111	95	760
112	96	759
113	97	757
114	98	756
115	99	756
116	100	754
117	101	761
118	103	763
119	104	764
120	105	766
121	106	763
122	106	761
123	107	760
124	108	758
125	109	757
126	110	758
127	111	756
128	111	755
129	112	753
130	113	752
131	114	750
132	115	751
133	116	751
134	117	751
135	118	750
136	118	749
137	119	747
138	120	746
139	121	745
140	122	744
141	122	742
142	123	741
143	124	741
144	125	739
145	126	738
146	127	737
147	127	736
148	129	736
149	129	735
150	130	735
151	132	736
152	133	736
153	133	735
154	134	733
155	135	732
156	136	731
157	137	730
158	138	729
159	138	728
160	139	725
161	139	724
162	140	722
163	141	721
164	142	719
165	143	718
166	143	716
167	144	715
168	145	715
169	146	714
170	147	714
171	148	714
172	149	712
173	149	711
174	150	710
175	151	709
176	152	708
177	153	708
178	154	706
179	154	705
180	155	703
181	156	702
182	157	702
183	157	700
184	158	699
185	159	699
186	160	697
187	161	697
188	162	696
189	163	695
190	163	694
191	164	693
192	165	692
193	166	691
194	167	690
195	167	689
196	168	687
197	169	686
198	170	685
199	171	684
200	171	683
201	172	683
202	173	681
203	174	680
204	175	679
205	176	678
206	177	678
207	177	677
208	178	676
209	179	675
210	180	674
211	181	673
212	182	672
213	182	671
214	183	670
215	184	670
216	185	669
217	186	667
218	186	666
219	187	665
220	188	664
221	189	663
222	190	662
223	191	662
224	192	661
225	192	660
226	193	660
227	194	659
228	195	658
229	196	656
230	196	655
231	197	654
232	198	654
233	199	653
234	200	651
235	200	650
236	201	649
237	202	648
238	203	647
239	204	646
240	205	646
241	206	645
242	206	644
243	207	643
244	208	642
245	209	641
246	210	640
247	210	639
248	211	638
249	212	637
250	213	636
251	213	635
252	214	633
253	215	632
254	215	631
255	216	629
256	217	628
257	218	627
258	218	625
259	219	624
260	220	624
261	221	623
262	222	623
263	223	622
264	224	621
265	224	620
266	225	619
267	226	619
268	227	617
269	228	616
270	228	615
271	229	614
272	230	613
273	231	612
274	231	611
275	232	610
276	233	609
277	234	608
278	234	607
279	235	606
280	236	605
281	237	604
282	238	604
283	239	603
284	240	602
285	240	601
286	241	600
287	242	599
288	243	598
289	244	597
290	244	596
291	245	595
292	246	594
293	247	593
294	248	592
295	248	591
296	249	590
297	250	590
298	251	589
299	252	588
300	253	588
301	254	587
302	255	586
303	255	585
304	256	584
305	257	584
306	258	584
307	259	583
308	260	582
309	261	581
310	262	580
311	262	579
312	263	578
313	264	577
314	265	576
315	265	575
316	266	574
317	267	573
318	268	572
319	268	571
320	269	570
321	270	569
322	270	567
323	271	566
324	272	566
325	273	566
326	274	565
327	275	565
328	276	564
329	277	564
330	278	563
331	279	562
332	280	561
333	281	561
334	282	561
335	283	560
336	284	559
337	285	559
338	286	558
339	287	557
340	288	556
341	289	556
342	289	555
343	290	554
344	291	553
345	292	552
346	293	551
347	294	550
348	294	549
349	295	548
350	296	547
351	297	547
352	297	546
353	298	545
354	299	544
355	300	543
356	301	543
357	302	542
358	303	542
359	304	542
360	305	541
361	306	540
362	307	539
363	308	539
364	309	538
365	310	537
366	310	536
367	311	535
368	312	534
369	313	533
370	314	533
371	315	532
372	316	531
373	317	530
374	318	530
375	318	529
376	319	528
377	320	527
378	321	526
379	322	525
380	322	524
381	323	523
382	324	522
383	325	521
384	326	520
385	326	520
386	327	519
387	328	518
388	329	517
389	330	516
390	331	516
391	332	515
392	333	514
393	334	514
