iter	Passed	Remaining
0	142	142270
1	143	71578
2	144	48008
3	145	36238
4	146	29152
5	147	24433
6	148	21053
7	149	18518
8	150	16534
9	151	14991
10	152	13734
11	153	12675
12	155	11770
13	156	11004
14	157	10321
15	158	9726
16	158	9191
17	159	8722
18	160	8303
19	161	7922
20	162	7577
21	163	7266
22	164	6979
23	165	6716
24	165	6472
25	166	6246
26	167	6039
27	168	5847
28	169	5670
29	170	5506
30	171	5353
31	172	5205
32	172	5068
33	173	4939
34	174	4821
35	175	4705
36	176	4597
37	177	4493
38	178	4394
39	179	4301
40	180	4213
41	181	4129
42	181	4049
43	182	3974
44	184	3905
45	184	3835
46	185	3769
47	186	3707
48	187	3644
49	188	3584
50	189	3529
51	190	3473
52	191	3419
53	192	3368
54	193	3319
55	194	3271
56	194	3224
57	195	3179
58	196	3136
59	197	3093
60	198	3052
61	199	3012
62	199	2974
63	200	2937
64	201	2903
65	202	2867
66	203	2833
67	203	2794
68	204	2764
69	205	2732
70	206	2701
71	207	2671
72	208	2644
73	209	2617
74	209	2588
75	210	2565
76	211	2540
77	212	2515
78	213	2490
79	214	2465
80	215	2441
81	216	2418
82	216	2395
83	217	2373
84	218	2349
85	219	2329
86	219	2305
87	220	2286
88	221	2266
89	222	2247
90	223	2229
91	224	2211
92	224	2193
93	225	2177
94	226	2159
95	227	2142
96	228	2126
97	229	2110
98	230	2094
99	231	2079
100	231	2064
101	232	2045
102	233	2031
103	234	2016
104	235	2003
105	236	1990
106	236	1977
107	237	1963
108	238	1950
109	239	1938
110	240	1925
111	241	1912
112	241	1899
113	242	1886
114	243	1874
115	244	1861
116	245	1849
117	245	1838
118	246	1826
119	247	1815
120	248	1804
121	249	1794
122	249	1781
123	250	1770
124	251	1759
125	252	1748
126	253	1741
127	253	1729
128	254	1720
129	255	1710
130	256	1699
131	257	1692
132	258	1683
133	259	1674
134	259	1665
135	260	1656
136	261	1647
137	262	1637
138	262	1628
139	263	1620
140	264	1611
141	265	1602
142	266	1594
143	267	1587
144	267	1579
145	268	1572
146	269	1564
147	270	1556
148	271	1548
149	272	1541
150	272	1534
151	273	1527
152	274	1519
153	275	1512
154	276	1505
155	276	1497
156	277	1490
157	278	1484
158	279	1477
159	280	1471
160	281	1464
161	281	1458
162	282	1452
163	283	1446
164	284	1440
165	285	1433
166	286	1427
167	286	1421
168	287	1415
169	288	1408
170	289	1402
171	290	1396
172	290	1390
173	291	1385
174	292	1379
175	293	1374
176	294	1368
177	295	1364
178	296	1358
179	297	1353
180	297	1346
181	298	1340
182	299	1335
183	300	1330
184	300	1325
185	301	1319
186	302	1314
187	303	1310
188	304	1305
189	305	1300
190	306	1296
191	306	1291
192	307	1287
193	308	1282
194	309	1278
